Question,Correct Answer
Total population in Autauga County,1845
Average income in Autauga County,67826.0
Poverty rate in Autauga County,10.7
Unemployment rate in Autauga County,4.6
Total population in Autauga County,2172
Average income in Autauga County,41287.0
Poverty rate in Autauga County,22.4
Unemployment rate in Autauga County,3.4
Total population in Autauga County,3385
Average income in Autauga County,46806.0
Poverty rate in Autauga County,14.7
Unemployment rate in Autauga County,4.7
Total population in Autauga County,4267
Average income in Autauga County,55895.0
Poverty rate in Autauga County,2.3
Unemployment rate in Autauga County,6.1
Total population in Autauga County,9965
Average income in Autauga County,68143.0
Poverty rate in Autauga County,12.2
Unemployment rate in Autauga County,2.3
Total population in Autauga County,3620
Average income in Autauga County,44549.0
Poverty rate in Autauga County,13.6
Unemployment rate in Autauga County,6.1
Total population in Autauga County,3420
Average income in Autauga County,41250.0
Poverty rate in Autauga County,27.0
Unemployment rate in Autauga County,16.9
Total population in Autauga County,2913
Average income in Autauga County,80089.0
Poverty rate in Autauga County,12.0
Unemployment rate in Autauga County,7.2
Total population in Autauga County,11333
Average income in Autauga County,64439.0
Poverty rate in Autauga County,14.7
Unemployment rate in Autauga County,2.2
Total population in Autauga County,6167
Average income in Autauga County,49469.0
Poverty rate in Autauga County,9.4
Unemployment rate in Autauga County,6.8
Total population in Autauga County,2796
Average income in Autauga County,46607.0
Poverty rate in Autauga County,17.1
Unemployment rate in Autauga County,6.0
Total population in Autauga County,3153
Average income in Autauga County,36450.0
Poverty rate in Autauga County,18.6
Unemployment rate in Autauga County,5.4
Total population in Baldwin County,3988
Average income in Baldwin County,41387.0
Poverty rate in Baldwin County,10.5
Unemployment rate in Baldwin County,5.8
Total population in Baldwin County,3259
Average income in Baldwin County,33769.0
Poverty rate in Baldwin County,26.5
Unemployment rate in Baldwin County,7.8
Total population in Baldwin County,9056
Average income in Baldwin County,49583.0
Poverty rate in Baldwin County,6.0
Unemployment rate in Baldwin County,3.9
Total population in Baldwin County,4810
Average income in Baldwin County,47178.0
Poverty rate in Baldwin County,10.4
Unemployment rate in Baldwin County,7.4
Total population in Baldwin County,5038
Average income in Baldwin County,41071.0
Poverty rate in Baldwin County,18.6
Unemployment rate in Baldwin County,4.4
Total population in Baldwin County,3418
Average income in Baldwin County,27722.0
Poverty rate in Baldwin County,29.8
Unemployment rate in Baldwin County,5.9
Total population in Baldwin County,8068
Average income in Baldwin County,80800.0
Poverty rate in Baldwin County,3.5
Unemployment rate in Baldwin County,2.3
Total population in Baldwin County,17748
Average income in Baldwin County,87373.0
